ID,N,PF,PRF,RF,SF,SPF,SRF,SPRF
153,0.001863,-0.00734,0.00296,-0.001713,-0.001126,0.003322,0.011341,0.008698
154,0.001393,0.007129,-0.002586,0.005945,0.005531,-0.002473,-0.009658,0.001116
155,0.002153,-0.001265,0.004439,0.004524,-0.002253,0.001216,0.013817,-0.004658
156,0.001587,0.00614,0.00274,-0.000364,0.000829,0.003386,-0.009052,0.000219
157,0.000755,-0.000969,0.000408,0.001285,0.001387,0.002927,0.022673,0.005406
158,0.000397,0.001732,0.000201,-0.000613,0.006261,0.003114,-0.01808,0.002418
159,0.003171,-0.001559,0.002197,0.000687,0.001997,-0.000337,0.002152,-8.52E-05
160,0.002178,0.004813,0.000948,-0.000241,-0.002463,0.000944,-0.008112,0.004274
161,0.00211,0.001287,0.00068,0.006457,-4.10E-05,0.003279,0.017176,0.00224
162,-0.001024,-0.000604,0.002643,0.006407,0.005244,-0.000929,-0.000754,-0.000774
163,0.003274,0.003034,0.0034,-0.003708,-4.82E-05,-0.00017,0.002865,-5.60E-05
164,0.000625,0.004185,0.002723,0.000971,0.002265,0.007604,-0.002798,0.002643
165,0.003199,-0.002319,-0.006408,-0.000657,0.001998,0.003052,0.004237,0.003524
166,-0.000633,0.002817,0.007923,0.00366,0.005223,0.001596,-0.00357,0.001788
167,0.003815,-0.001313,-0.005744,-0.000528,-0.005126,-0.006666,0.00173,0.00233
168,0.000438,0.005956,0.013218,0.003207,0.002769,0.002389,0.00074,0.002952
169,0.00213,-0.000216,-0.010463,0.007486,0.000644,0.004906,0.006537,-0.002142
170,0.000266,0.002529,0.011191,-0.00364,0.004945,0.008038,0.000239,-0.000163
171,0.003453,-4.64E-06,-0.005623,0.002048,0.003023,-0.002057,0.002215,0.00371
172,-8.32E-05,0.003201,0.009039,0.000767,-0.001002,-0.000497,-0.002711,0.005706
173,0.002979,-0.003104,-0.00895,0.002371,0.002466,0.001732,0.002415,0.000581
174,-0.000697,0.008195,0.008938,0.000499,-0.003163,0.001277,-0.001939,-0.008797
175,0.004523,-0.004902,-0.000807,0.000497,0.006248,0.004157,0.004031,0.019744
176,0.000662,0.006112,0.003946,0.006342,-0.001771,-0.003,0.001815,-0.01315
177,0.000184,-0.000366,-0.000561,0.000979,0.008984,0.00644,0.00429,0.019342
178,0.002679,0.003901,-0.000123,-3.45E-05,-0.006996,0.00515,-0.000451,-0.033915
179,0.00182,-0.003262,0.003847,0.00104,0.006458,-0.00577,-0.00305,0.03526
180,0.002443,0.006702,-0.000587,0.000152,0.000473,0.009402,0.004858,-0.008074
181,-0.001042,-0.004376,0.002806,0.002222,0.000103,-0.015802,0.003368,0.014154
182,0.002478,0.008025,-0.001315,0.000637,0.002125,0.013622,-0.003734,-0.025011
183,0.002004,-0.002027,0.006669,0.007868,-0.00072,0.01591,0.00251,0.009302
184,0.004514,0.003991,-0.00044,-0.00406,0.008707,-0.013147,0.000484,0.00646
185,-0.002279,-0.002839,0.001239,0.005049,-0.003416,0.006441,0.010982,0.002352
186,0.002903,0.005081,-0.000242,-0.00161,0.001928,-0.020664,-0.006019,0.003631
187,0.000405,0.002851,0.001151,0.001633,-0.000246,0.028457,-0.002299,-7.45E-07
188,0.003261,-0.005262,0.00341,0.00193,0.006263,-0.00762,0.001522,0.006342
189,0.000466,0.010176,0.000314,0.003835,-0.004347,0.009348,0.005508,-0.006685
190,0.0022,-0.006832,0.001998,0.002276,0.006937,-0.009547,0.000388,0.004615
191,0.00142,0.006859,0.001909,0.001153,-0.001947,0.007586,-0.001745,-0.002059
192,0.002449,0.00146,0.001146,-0.003122,0.008066,0.005456,0.00533,0.010478
193,0.001226,-0.000978,0.002299,0.003564,-0.00643,-0.007585,0.003159,-0.003634
194,-0.000145,0.002532,-0.001452,0.003359,0.007019,0.002323,-0.002441,0.009439
195,0.002592,0.004216,0.007037,0.001427,-0.003043,0.008458,-0.002638,-0.005658
196,0.002056,-0.004349,-0.004113,0.000117,0.001206,-0.000577,0.00203,0.003092
197,0.001229,0.007306,0.005381,0.004995,0.007951,0.011096,0.008223,-0.00721
198,0.002332,-0.001525,-0.00082,-0.00162,-0.000737,-0.014844,0.000143,0.009806
199,0.001271,-0.000284,-0.000939,0.001862,0.003814,0.00712,0.000654,0.001167
200,0.001703,0.008184,0.00652,-0.000718,-0.006779,-0.000164,-5.86E-05,0.004469
201,-0.000383,-0.004603,-0.005481,0.005125,0.007536,0.00956,0.00092,-0.001374
202,0.003376,0.001919,0.012163,-0.000537,-0.000832,-0.003102,-0.000213,0.003071
203,0.00163,0.004544,-0.007466,0.006835,0.00633,0.001098,-0.000353,0.000935
204,0.00148,-0.003321,0.007538,-0.005081,-0.009528,0.004307,0.003589,-0.000955
205,0.001442,0.008294,-0.003474,0.009639,0.019752,0.003805,0.009353,0.000901
206,0.00156,-0.003292,0.00265,-0.008552,-0.014186,-0.004356,-0.004716,0.007596
207,0.002415,0.000495,0.00144,0.008972,0.010914,-0.001022,-0.000822,0.003057
208,0.000805,0.009529,0.001681,-0.006923,-0.007861,0.005401,-0.002257,0.001111
209,-0.000294,-0.010126,0.003038,0.012205,0.00782,0.008914,0.006917,-0.001269
210,0.003418,0.012701,0.004765,-0.007531,0.004054,0.000104,0.000226,0.000601
211,0.002262,-0.007737,-0.00658,0.011803,-0.004423,-0.005792,4.54E-05,-0.00032
212,0.002388,0.008894,0.007156,-0.006321,0.007136,0.006567,0.000875,0.003172
213,-0.000683,-0.007908,-0.006393,0.004139,-0.00521,-0.001226,0.012777,0.004076
214,0.002683,0.014255,0.0112,-0.00259,0.009415,0.004486,-0.007927,0.003688
215,0.00026,-0.009435,-0.003604,0.004716,-0.006227,-0.001908,-0.001345,-0.00197
216,0.002493,0.007191,0.004877,0.00011,0.007716,0.00456,-0.003439,-0.000331
217,0.00112,-0.001041,-0.000979,0.006739,-0.003634,0.006728,0.011385,0.002577
218,0.002598,0.002321,0.000526,-0.003262,0.006321,-0.00082,-0.000858,0.004636
219,0.001922,0.00124,-0.000694,0.005952,-0.001556,-0.001372,0.000765,-0.000628
220,0.001547,0.004854,0.002581,-0.006034,0.004278,-0.007145,0.001642,0.002499
